Iterações entre number1 / number2: 32400
+9 8/8 / +9 = +1 1/9
+9 8/8 / -1 = -10
+9 8/8 / -2 = -5
+9 8/8 / -3 = -3 1/3
+9 8/8 / -4 = -2 1/2
+9 8/8 / -5 = -2
+9 8/8 / -6 = -1 2/3
+9 8/8 / -7 = -1 3/7
+9 8/8 / -8 = -1 1/4
+9 8/8 / -9 = -1 1/9
+9 8/9 / +1 = +9 8/9
+9 8/9 / +2 = +4 17/18
+9 8/9 / +3 = +3 8/27
+9 8/9 / +4 = +2 17/36
+9 8/9 / +5 = +1 44/45
+9 8/9 / +6 = +1 35/54
+9 8/9 / +7 = +1 26/63
+9 8/9 / +8 = +1 17/72
+9 8/9 / +9 = +1 8/81
+9 8/9 / -1 = -9 8/9
+9 8/9 / -2 = -4 17/18
+9 8/9 / -3 = -3 8/27
+9 8/9 / -4 = -2 17/36
+9 8/9 / -5 = -1 44/45
+9 8/9 / -6 = -1 35/54
+9 8/9 / -7 = -1 26/63
+9 8/9 / -8 = -1 17/72
+9 8/9 / -9 = -1 8/81
+9 9/1 / +1 = +18
+9 9/1 / +2 = +9
+9 9/1 / +3 = +6
+9 9/1 / +4 = +4 1/2
+9 9/1 / +5 = +3 3/5
+9 9/1 / +6 = +3
+9 9/1 / +7 = +2 4/7
+9 9/1 / +8 = +2 1/4
+9 9/1 / +9 = +2
+9 9/1 / -1 = -18
+9 9/1 / -2 = -9
+9 9/1 / -3 = -6
+9 9/1 / -4 = -4 1/2
+9 9/1 / -5 = -3 3/5
+9 9/1 / -6 = -3
+9 9/1 / -7 = -2 4/7
+9 9/1 / -8 = -2 1/4
+9 9/1 / -9 = -2
+9 9/2 / +1 = +13 1/2
+9 9/2 / +2 = +6 3/4
+9 9/2 / +3 = +4 1/2
+9 9/2 / +4 = +3 3/8
+9 9/2 / +5 = +2 7/10
+9 9/2 / +6 = +2 1/4
+9 9/2 / +7 = +1 13/14
+9 9/2 / +8 = +1 11/16
+9 9/2 / +9 = +1 1/2
+9 9/2 / -1 = -13 1/2
+9 9/2 / -2 = -6 3/4
+9 9/2 / -3 = -4 1/2
+9 9/2 / -4 = -3 3/8
+9 9/2 / -5 = -2 7/10
+9 9/2 / -6 = -2 1/4
+9 9/2 / -7 = -1 13/14
+9 9/2 / -8 = -1 11/16
+9 9/2 / -9 = -1 1/2
+9 9/3 / +1 = +12
+9 9/3 / +2 = +6
+9 9/3 / +3 = +4
+9 9/3 / +4 = +3
+9 9/3 / +5 = +2 2/5
+9 9/3 / +6 = +2
+9 9/3 / +7 = +1 5/7
+9 9/3 / +8 = +1 1/2
+9 9/3 / +9 = +1 1/3
+9 9/3 / -1 = -12
+9 9/3 / -2 = -6
+9 9/3 / -3 = -4
+9 9/3 / -4 = -3
+9 9/3 / -5 = -2 2/5
+9 9/3 / -6 = -2
+9 9/3 / -7 = -1 5/7
+9 9/3 / -8 = -1 1/2
+9 9/3 / -9 = -1 1/3
+9 9/4 / +1 = +11 1/4
+9 9/4 / +2 = +5 5/8
+9 9/4 / +3 = +3 3/4
+9 9/4 / +4 = +2 13/16
+9 9/4 / +5 = +2 1/4
+9 9/4 / +6 = +1 7/8
+9 9/4 / +7 = +1 17/28
+9 9/4 / +8 = +1 13/32
+9 9/4 / +9 = +1 1/4
+9 9/4 / -1 = -11 1/4
+9 9/4 / -2 = -5 5/8
+9 9/4 / -3 = -3 3/4
+9 9/4 / -4 = -2 13/16
+9 9/4 / -5 = -2 1/4
+9 9/4 / -6 = -1 7/8
+9 9/4 / -7 = -1 17/28
+9 9/4 / -8 = -1 13/32
+9 9/4 / -9 = -1 1/4
+9 9/5 / +1 = +10 4/5
+9 9/5 / +2 = +5 2/5
+9 9/5 / +3 = +3 3/5
+9 9/5 / +4 = +2 7/10
+9 9/5 / +5 = +2 4/25
+9 9/5 / +6 = +1 4/5
+9 9/5 / +7 = +1 19/35
+9 9/5 / +8 = +1 7/20
+9 9/5 / +9 = +1 1/5
+9 9/5 / -1 = -10 4/5
+9 9/5 / -2 = -5 2/5
+9 9/5 / -3 = -3 3/5
+9 9/5 / -4 = -2 7/10
+9 9/5 / -5 = -2 4/25
+9 9/5 / -6 = -1 4/5
+9 9/5 / -7 = -1 19/35
+9 9/5 / -8 = -1 7/20
+9 9/5 / -9 = -1 1/5
+9 9/6 / +1 = +10 1/2
+9 9/6 / +2 = +5 1/4
+9 9/6 / +3 = +3 1/2
+9 9/6 / +4 = +2 5/8
+9 9/6 / +5 = +2 1/10
+9 9/6 / +6 = +1 3/4
+9 9/6 / +7 = +1 1/2
+9 9/6 / +8 = +1 5/16
+9 9/6 / +9 = +1 1/6
+9 9/6 / -1 = -10 1/2
+9 9/6 / -2 = -5 1/4
+9 9/6 / -3 = -3 1/2
+9 9/6 / -4 = -2 5/8
+9 9/6 / -5 = -2 1/10
+9 9/6 / -6 = -1 3/4
+9 9/6 / -7 = -1 1/2
+9 9/6 / -8 = -1 5/16
+9 9/6 / -9 = -1 1/6
+9 9/7 / +1 = +10 2/7
+9 9/7 / +2 = +5 1/7
+9 9/7 / +3 = +3 3/7
+9 9/7 / +4 = +2 4/7
+9 9/7 / +5 = +2 2/35
+9 9/7 / +6 = +1 5/7
+9 9/7 / +7 = +1 23/49
+9 9/7 / +8 = +1 2/7
+9 9/7 / +9 = +1 1/7
+9 9/7 / -1 = -10 2/7
+9 9/7 / -2 = -5 1/7
+9 9/7 / -3 = -3 3/7
+9 9/7 / -4 = -2 4/7
+9 9/7 / -5 = -2 2/35
+9 9/7 / -6 = -1 5/7
+9 9/7 / -7 = -1 23/49
+9 9/7 / -8 = -1 2/7
+9 9/7 / -9 = -1 1/7
+9 9/8 / +1 = +10 1/8
+9 9/8 / +2 = +5 1/16
+9 9/8 / +3 = +3 3/8
+9 9/8 / +4 = +2 17/32
+9 9/8 / +5 = +2 1/40
+9 9/8 / +6 = +1 11/16
+9 9/8 / +7 = +1 25/56
+9 9/8 / +8 = +1 17/64
+9 9/8 / +9 = +1 1/8
+9 9/8 / -1 = -10 1/8
+9 9/8 / -2 = -5 1/16
+9 9/8 / -3 = -3 3/8
+9 9/8 / -4 = -2 17/32
+9 9/8 / -5 = -2 1/40
+9 9/8 / -6 = -1 11/16
+9 9/8 / -7 = -1 25/56
+9 9/8 / -8 = -1 17/64
+9 9/8 / -9 = -1 1/8
+9 9/9 / +1 = +10
+9 9/9 / +2 = +5
+9 9/9 / +3 = +3 1/3
+9 9/9 / +4 = +2 1/2
+9 9/9 / +5 = +2
+9 9/9 / +6 = +1 2/3
+9 9/9 / +7 = +1 3/7
+9 9/9 / +8 = +1 1/4
+9 9/9 / +9 = +1 1/9
+9 9/9 / -1 = -10
+9 9/9 / -2 = -5
+9 9/9 / -3 = -3 1/3
+9 9/9 / -4 = -2 1/2
+9 9/9 / -5 = -2
+9 9/9 / -6 = -1 2/3
+9 9/9 / -7 = -1 3/7
+9 9/9 / -8 = -1 1/4
+9 9/9 / -9 = -1 1/9
-0 0/1 / +1 = +0
-0 0/1 / +2 = +0
-0 0/1 / +3 = +0
-0 0/1 / +4 = +0
-0 0/1 / +5 = +0
-0 0/1 / +6 = +0
-0 0/1 / +7 = +0
-0 0/1 / +8 = +0
-0 0/1 / +9 = +0
-0 0/1 / -1 = +0
-0 0/1 / -2 = +0
-0 0/1 / -3 = +0
-0 0/1 / -4 = +0
-0 0/1 / -5 = +0
-0 0/1 / -6 = +0
-0 0/1 / -7 = +0
-0 0/1 / -8 = +0
-0 0/1 / -9 = +0
-0 0/2 / +1 = +0
-0 0/2 / +2 = +0
-0 0/2 / +3 = +0
-0 0/2 / +4 = +0
-0 0/2 / +5 = +0
-0 0/2 / +6 = +0
-0 0/2 / +7 = +0
-0 0/2 / +8 = +0
-0 0/2 / +9 = +0
-0 0/2 / -1 = +0
-0 0/2 / -2 = +0
-0 0/2 / -3 = +0
-0 0/2 / -4 = +0
-0 0/2 / -5 = +0
-0 0/2 / -6 = +0
-0 0/2 / -7 = +0
-0 0/2 / -8 = +0
-0 0/2 / -9 = +0
-0 0/3 / +1 = +0
-0 0/3 / +2 = +0
-0 0/3 / +3 = +0
-0 0/3 / +4 = +0
-0 0/3 / +5 = +0
-0 0/3 / +6 = +0
-0 0/3 / +7 = +0
-0 0/3 / +8 = +0
-0 0/3 / +9 = +0
-0 0/3 / -1 = +0
-0 0/3 / -2 = +0
-0 0/3 / -3 = +0
-0 0/3 / -4 = +0
-0 0/3 / -5 = +0
-0 0/3 / -6 = +0
-0 0/3 / -7 = +0
-0 0/3 / -8 = +0
-0 0/3 / -9 = +0
-0 0/4 / +1 = +0
-0 0/4 / +2 = +0
-0 0/4 / +3 = +0
-0 0/4 / +4 = +0
-0 0/4 / +5 = +0
-0 0/4 / +6 = +0
-0 0/4 / +7 = +0
-0 0/4 / +8 = +0
-0 0/4 / +9 = +0
-0 0/4 / -1 = +0
-0 0/4 / -2 = +0
-0 0/4 / -3 = +0
-0 0/4 / -4 = +0
-0 0/4 / -5 = +0
-0 0/4 / -6 = +0
-0 0/4 / -7 = +0
-0 0/4 / -8 = +0
-0 0/4 / -9 = +0
-0 0/5 / +1 = +0
-0 0/5 / +2 = +0
-0 0/5 / +3 = +0
-0 0/5 / +4 = +0
-0 0/5 / +5 = +0
-0 0/5 / +6 = +0
-0 0/5 / +7 = +0
-0 0/5 / +8 = +0
-0 0/5 / +9 = +0
-0 0/5 / -1 = +0
-0 0/5 / -2 = +0
-0 0/5 / -3 = +0
-0 0/5 / -4 = +0
-0 0/5 / -5 = +0
-0 0/5 / -6 = +0
-0 0/5 / -7 = +0
-0 0/5 / -8 = +0
-0 0/5 / -9 = +0
-0 0/6 / +1 = +0
-0 0/6 / +2 = +0
-0 0/6 / +3 = +0
-0 0/6 / +4 = +0
-0 0/6 / +5 = +0
-0 0/6 / +6 = +0
-0 0/6 / +7 = +0
-0 0/6 / +8 = +0
-0 0/6 / +9 = +0
-0 0/6 / -1 = +0
-0 0/6 / -2 = +0
-0 0/6 / -3 = +0
-0 0/6 / -4 = +0
-0 0/6 / -5 = +0
-0 0/6 / -6 = +0
-0 0/6 / -7 = +0
-0 0/6 / -8 = +0
-0 0/6 / -9 = +0
-0 0/7 / +1 = +0
-0 0/7 / +2 = +0
-0 0/7 / +3 = +0
-0 0/7 / +4 = +0
-0 0/7 / +5 = +0
-0 0/7 / +6 = +0
-0 0/7 / +7 = +0
-0 0/7 / +8 = +0
-0 0/7 / +9 = +0
-0 0/7 / -1 = +0
-0 0/7 / -2 = +0
-0 0/7 / -3 = +0
-0 0/7 / -4 = +0
-0 0/7 / -5 = +0
-0 0/7 / -6 = +0
-0 0/7 / -7 = +0
-0 0/7 / -8 = +0
-0 0/7 / -9 = +0
-0 0/8 / +1 = +0
-0 0/8 / +2 = +0
-0 0/8 / +3 = +0
-0 0/8 / +4 = +0
-0 0/8 / +5 = +0
-0 0/8 / +6 = +0
-0 0/8 / +7 = +0
-0 0/8 / +8 = +0
-0 0/8 / +9 = +0
-0 0/8 / -1 = +0
-0 0/8 / -2 = +0
-0 0/8 / -3 = +0
-0 0/8 / -4 = +0
-0 0/8 / -5 = +0
-0 0/8 / -6 = +0
-0 0/8 / -7 = +0
-0 0/8 / -8 = +0
-0 0/8 / -9 = +0
-0 0/9 / +1 = +0
-0 0/9 / +2 = +0
-0 0/9 / +3 = +0
-0 0/9 / +4 = +0
-0 0/9 / +5 = +0
-0 0/9 / +6 = +0
-0 0/9 / +7 = +0
-0 0/9 / +8 = +0
-0 0/9 / +9 = +0
-0 0/9 / -1 = +0
-0 0/9 / -2 = +0
-0 0/9 / -3 = +0
-0 0/9 / -4 = +0
-0 0/9 / -5 = +0
-0 0/9 / -6 = +0
-0 0/9 / -7 = +0
-0 0/9 / -8 = +0
-0 0/9 / -9 = +0
-0 1/1 / +1 = -1
-0 1/1 / +2 = -1/2
-0 1/1 / +3 = -1/3
-0 1/1 / +4 = -1/4
-0 1/1 / +5 = -1/5
-0 1/1 / +6 = -1/6
-0 1/1 / +7 = -1/7
-0 1/1 / +8 = -1/8
-0 1/1 / +9 = -1/9
-0 1/1 / -1 = +1
-0 1/1 / -2 = +1/2
-0 1/1 / -3 = +1/3
-0 1/1 / -4 = +1/4
-0 1/1 / -5 = +1/5
-0 1/1 / -6 = +1/6
-0 1/1 / -7 = +1/7
-0 1/1 / -8 = +1/8
-0 1/1 / -9 = +1/9
-0 1/2 / +1 = -1/2
-0 1/2 / +2 = -1/4
-0 1/2 / +3 = -1/6
-0 1/2 / +4 = -1/8
-0 1/2 / +5 = -1/10
-0 1/2 / +6 = -1/12
-0 1/2 / +7 = -1/14
-0 1/2 / +8 = -1/16
-0 1/2 / +9 = -1/18
-0 1/2 / -1 = +1/2
-0 1/2 / -2 = +1/4
-0 1/2 / -3 = +1/6
-0 1/2 / -4 = +1/8
-0 1/2 / -5 = +1/10
-0 1/2 / -6 = +1/12
-0 1/2 / -7 = +1/14
-0 1/2 / -8 = +1/16
-0 1/2 / -9 = +1/18
-0 1/3 / +1 = -1/3
-0 1/3 / +2 = -1/6
-0 1/3 / +3 = -1/9
-0 1/3 / +4 = -1/12
-0 1/3 / +5 = -1/15
-0 1/3 / +6 = -1/18
-0 1/3 / +7 = -1/21
-0 1/3 / +8 = -1/24
-0 1/3 / +9 = -1/27
-0 1/3 / -1 = +1/3
-0 1/3 / -2 = +1/6
-0 1/3 / -3 = +1/9
-0 1/3 / -4 = +1/12
-0 1/3 / -5 = +1/15
-0 1/3 / -6 = +1/18
-0 1/3 / -7 = +1/21
-0 1/3 / -8 = +1/24
-0 1/3 / -9 = +1/27
-0 1/4 / +1 = -1/4
-0 1/4 / +2 = -1/8
-0 1/4 / +3 = -1/12
-0 1/4 / +4 = -1/16
-0 1/4 / +5 = -1/20
-0 1/4 / +6 = -1/24
-0 1/4 / +7 = -1/28
-0 1/4 / +8 = -1/32
-0 1/4 / +9 = -1/36
-0 1/4 / -1 = +1/4
-0 1/4 / -2 = +1/8
-0 1/4 / -3 = +1/12
-0 1/4 / -4 = +1/16
-0 1/4 / -5 = +1/20
-0 1/4 / -6 = +1/24
-0 1/4 / -7 = +1/28
-0 1/4 / -8 = +1/32
-0 1/4 / -9 = +1/36
-0 1/5 / +1 = -1/5
-0 1/5 / +2 = -1/10
-0 1/5 / +3 = -1/15
-0 1/5 / +4 = -1/20
-0 1/5 / +5 = -1/25
-0 1/5 / +6 = -1/30
-0 1/5 / +7 = -1/35
-0 1/5 / +8 = -1/40
-0 1/5 / +9 = -1/45
-0 1/5 / -1 = +1/5
-0 1/5 / -2 = +1/10
-0 1/5 / -3 = +1/15
-0 1/5 / -4 = +1/20
-0 1/5 / -5 = +1/25
-0 1/5 / -6 = +1/30
-0 1/5 / -7 = +1/35
-0 1/5 / -8 = +1/40
-0 1/5 / -9 = +1/45
-0 1/6 / +1 = -1/6
-0 1/6 / +2 = -1/12
-0 1/6 / +3 = -1/18
-0 1/6 / +4 = -1/24
-0 1/6 / +5 = -1/30
-0 1/6 / +6 = -1/36
-0 1/6 / +7 = -1/42
-0 1/6 / +8 = -1/48
-0 1/6 / +9 = -1/54
-0 1/6 / -1 = +1/6
-0 1/6 / -2 = +1/12
-0 1/6 / -3 = +1/18
-0 1/6 / -4 = +1/24
-0 1/6 / -5 = +1/30
-0 1/6 / -6 = +1/36
-0 1/6 / -7 = +1/42
-0 1/6 / -8 = +1/48
-0 1/6 / -9 = +1/54
-0 1/7 / +1 = -1/7
-0 1/7 / +2 = -1/14
-0 1/7 / +3 = -1/21
-0 1/7 / +4 = -1/28
-0 1/7 / +5 = -1/35
-0 1/7 / +6 = -1/42
-0 1/7 / +7 = -1/49
-0 1/7 / +8 = -1/56
-0 1/7 / +9 = -1/63
-0 1/7 / -1 = +1/7
-0 1/7 / -2 = +1/14
-0 1/7 / -3 = +1/21
-0 1/7 / -4 = +1/28
-0 1/7 / -5 = +1/35
-0 1/7 / -6 = +1/42
-0 1/7 / -7 = +1/49
-0 1/7 / -8 = +1/56
-0 1/7 / -9 = +1/63
-0 1/8 / +1 = -1/8
-0 1/8 / +2 = -1/16
-0 1/8 / +3 = -1/24
-0 1/8 / +4 = -1/32
-0 1/8 / +5 = -1/40
-0 1/8 / +6 = -1/48
-0 1/8 / +7 = -1/56
-0 1/8 / +8 = -1/64
-0 1/8 / +9 = -1/72
-0 1/8 / -1 = +1/8
-0 1/8 / -2 = +1/16
-0 1/8 / -3 = +1/24
-0 1/8 / -4 = +1/32
-0 1/8 / -5 = +1/40
-0 1/8 / -6 = +1/48
-0 1/8 / -7 = +1/56
-0 1/8 / -8 = +1/64
-0 1/8 / -9 = +1/72
-0 1/9 / +1 = -1/9
-0 1/9 / +2 = -1/18
-0 1/9 / +3 = -1/27
-0 1/9 / +4 = -1/36
-0 1/9 / +5 = -1/45
-0 1/9 / +6 = -1/54
-0 1/9 / +7 = -1/63
-0 1/9 / +8 = -1/72
-0 1/9 / +9 = -1/81
-0 1/9 / -1 = +1/9
-0 1/9 / -2 = +1/18
-0 1/9 / -3 = +1/27
-0 1/9 / -4 = +1/36
-0 1/9 / -5 = +1/45
-0 1/9 / -6 = +1/54
-0 1/9 / -7 = +1/63
-0 1/9 / -8 = +1/72
-0 1/9 / -9 = +1/81
-0 2/1 / +1 = -2
-0 2/1 / +2 = -1
-0 2/1 / +3 = -2/3
-0 2/1 / +4 = -1/2
-0 2/1 / +5 = -2/5
-0 2/1 / +6 = -1/3
-0 2/1 / +7 = -2/7
-0 2/1 / +8 = -1/4
-0 2/1 / +9 = -2/9
-0 2/1 / -1 = +2
-0 2/1 / -2 = +1
-0 2/1 / -3 = +2/3
-0 2/1 / -4 = +1/2
-0 2/1 / -5 = +2/5
-0 2/1 / -6 = +1/3
-0 2/1 / -7 = +2/7
-0 2/1 / -8 = +1/4
-0 2/1 / -9 = +2/9
-0 2/2 / +1 = -1
-0 2/2 / +2 = -1/2
-0 2/2 / +3 = -1/3
-0 2/2 / +4 = -1/4
-0 2/2 / +5 = -1/5
-0 2/2 / +6 = -1/6
-0 2/2 / +7 = -1/7
-0 2/2 / +8 = -1/8
-0 2/2 / +9 = -1/9
-0 2/2 / -1 = +1
-0 2/2 / -2 = +1/2
-0 2/2 / -3 = +1/3
-0 2/2 / -4 = +1/4
-0 2/2 / -5 = +1/5
-0 2/2 / -6 = +1/6
-0 2/2 / -7 = +1/7
-0 2/2 / -8 = +1/8
-0 2/2 / -9 = +1/9
-0 2/3 / +1 = -2/3
-0 2/3 / +2 = -1/3
-0 2/3 / +3 = -2/9
-0 2/3 / +4 = -1/6
-0 2/3 / +5 = -2/15
-0 2/3 / +6 = -1/9
-0 2/3 / +7 = -2/21
-0 2/3 / +8 = -1/12
-0 2/3 / +9 = -2/27
-0 2/3 / -1 = +2/3
-0 2/3 / -2 = +1/3
-0 2/3 / -3 = +2/9
-0 2/3 / -4 = +1/6
-0 2/3 / -5 = +2/15
-0 2/3 / -6 = +1/9
-0 2/3 / -7 = +2/21
-0 2/3 / -8 = +1/12
-0 2/3 / -9 = +2/27
-0 2/4 / +1 = -1/2
-0 2/4 / +2 = -1/4
-0 2/4 / +3 = -1/6
-0 2/4 / +4 = -1/8
-0 2/4 / +5 = -1/10
-0 2/4 / +6 = -1/12
-0 2/4 / +7 = -1/14
-0 2/4 / +8 = -1/16
-0 2/4 / +9 = -1/18
-0 2/4 / -1 = +1/2
-0 2/4 / -2 = +1/4
-0 2/4 / -3 = +1/6
-0 2/4 / -4 = +1/8
-0 2/4 / -5 = +1/10
-0 2/4 / -6 = +1/12
-0 2/4 / -7 = +1/14
-0 2/4 / -8 = +1/16
-0 2/4 / -9 = +1/18
-0 2/5 / +1 = -2/5
-0 2/5 / +2 = -1/5
-0 2/5 / +3 = -2/15
-0 2/5 / +4 = -1/10
-0 2/5 / +5 = -2/25
-0 2/5 / +6 = -1/15
-0 2/5 / +7 = -2/35
-0 2/5 / +8 = -1/20
-0 2/5 / +9 = -2/45
-0 2/5 / -1 = +2/5
-0 2/5 / -2 = +1/5
-0 2/5 / -3 = +2/15
-0 2/5 / -4 = +1/10
-0 2/5 / -5 = +2/25
-0 2/5 / -6 = +1/15
-0 2/5 / -7 = +2/35
-0 2/5 / -8 = +1/20
-0 2/5 / -9 = +2/45
-0 2/6 / +1 = -1/3
-0 2/6 / +2 = -1/6
-0 2/6 / +3 = -1/9
-0 2/6 / +4 = -1/12
-0 2/6 / +5 = -1/15
-0 2/6 / +6 = -1/18
-0 2/6 / +7 = -1/21
-0 2/6 / +8 = -1/24
-0 2/6 / +9 = -1/27
-0 2/6 / -1 = +1/3
-0 2/6 / -2 = +1/6
-0 2/6 / -3 = +1/9
-0 2/6 / -4 = +1/12
-0 2/6 / -5 = +1/15
-0 2/6 / -6 = +1/18
-0 2/6 / -7 = +1/21
-0 2/6 / -8 = +1/24
-0 2/6 / -9 = +1/27
-0 2/7 / +1 = -2/7
-0 2/7 / +2 = -1/7
-0 2/7 / +3 = -2/21
-0 2/7 / +4 = -1/14
-0 2/7 / +5 = -2/35
-0 2/7 / +6 = -1/21
-0 2/7 / +7 = -2/49
-0 2/7 / +8 = -1/28
-0 2/7 / +9 = -2/63
-0 2/7 / -1 = +2/7
-0 2/7 / -2 = +1/7
-0 2/7 / -3 = +2/21
-0 2/7 / -4 = +1/14
-0 2/7 / -5 = +2/35
-0 2/7 / -6 = +1/21
-0 2/7 / -7 = +2/49
-0 2/7 / -8 = +1/28
-0 2/7 / -9 = +2/63
-0 2/8 / +1 = -1/4
-0 2/8 / +2 = -1/8
-0 2/8 / +3 = -1/12
-0 2/8 / +4 = -1/16
-0 2/8 / +5 = -1/20
-0 2/8 / +6 = -1/24
-0 2/8 / +7 = -1/28
-0 2/8 / +8 = -1/32
-0 2/8 / +9 = -1/36
-0 2/8 / -1 = +1/4
-0 2/8 / -2 = +1/8
-0 2/8 / -3 = +1/12
-0 2/8 / -4 = +1/16
-0 2/8 / -5 = +1/20
-0 2/8 / -6 = +1/24
-0 2/8 / -7 = +1/28
-0 2/8 / -8 = +1/32
-0 2/8 / -9 = +1/36
-0 2/9 / +1 = -2/9
-0 2/9 / +2 = -1/9
-0 2/9 / +3 = -2/27
-0 2/9 / +4 = -1/18
-0 2/9 / +5 = -2/45
-0 2/9 / +6 = -1/27
-0 2/9 / +7 = -2/63
-0 2/9 / +8 = -1/36
-0 2/9 / +9 = -2/81
-0 2/9 / -1 = +2/9
-0 2/9 / -2 = +1/9
-0 2/9 / -3 = +2/27
-0 2/9 / -4 = +1/18
-0 2/9 / -5 = +2/45
-0 2/9 / -6 = +1/27
-0 2/9 / -7 = +2/63
-0 2/9 / -8 = +1/36
-0 2/9 / -9 = +2/81
-0 3/1 / +1 = -3
-0 3/1 / +2 = -1 1/2
-0 3/1 / +3 = -1
-0 3/1 / +4 = -3/4
-0 3/1 / +5 = -3/5
-0 3/1 / +6 = -1/2
-0 3/1 / +7 = -3/7
-0 3/1 / +8 = -3/8
-0 3/1 / +9 = -1/3
-0 3/1 / -1 = +3
-0 3/1 / -2 = +1 1/2
-0 3/1 / -3 = +1
-0 3/1 / -4 = +3/4
-0 3/1 / -5 = +3/5
-0 3/1 / -6 = +1/2
-0 3/1 / -7 = +3/7
-0 3/1 / -8 = +3/8
-0 3/1 / -9 = +1/3
-0 3/2 / +1 = -1 1/2
-0 3/2 / +2 = -3/4
-0 3/2 / +3 = -1/2
-0 3/2 / +4 = -3/8
-0 3/2 / +5 = -3/10
-0 3/2 / +6 = -1/4
-0 3/2 / +7 = -3/14
-0 3/2 / +8 = -3/16
-0 3/2 / +9 = -1/6
-0 3/2 / -1 = +1 1/2
-0 3/2 / -2 = +3/4
-0 3/2 / -3 = +1/2
-0 3/2 / -4 = +3/8
-0 3/2 / -5 = +3/10
-0 3/2 / -6 = +1/4
-0 3/2 / -7 = +3/14
-0 3/2 / -8 = +3/16
-0 3/2 / -9 = +1/6
-0 3/3 / +1 = -1
-0 3/3 / +2 = -1/2
-0 3/3 / +3 = -1/3
-0 3/3 / +4 = -1/4
-0 3/3 / +5 = -1/5
-0 3/3 / +6 = -1/6
-0 3/3 / +7 = -1/7
-0 3/3 / +8 = -1/8
-0 3/3 / +9 = -1/9
-0 3/3 / -1 = +1
-0 3/3 / -2 = +1/2
-0 3/3 / -3 = +1/3
-0 3/3 / -4 = +1/4
-0 3/3 / -5 = +1/5
-0 3/3 / -6 = +1/6
-0 3/3 / -7 = +1/7
-0 3/3 / -8 = +1/8
-0 3/3 / -9 = +1/9
-0 3/4 / +1 = -3/4
-0 3/4 / +2 = -3/8
-0 3/4 / +3 = -1/4
-0 3/4 / +4 = -3/16
-0 3/4 / +5 = -3/20
-0 3/4 / +6 = -1/8
-0 3/4 / +7 = -3/28
-0 3/4 / +8 = -3/32
-0 3/4 / +9 = -1/12
-0 3/4 / -1 = +3/4
-0 3/4 / -2 = +3/8
-0 3/4 / -3 = +1/4
-0 3/4 / -4 = +3/16
-0 3/4 / -5 = +3/20
-0 3/4 / -6 = +1/8
-0 3/4 / -7 = +3/28
-0 3/4 / -8 = +3/32
-0 3/4 / -9 = +1/12
-0 3/5 / +1 = -3/5
-0 3/5 / +2 = -3/10
-0 3/5 / +3 = -1/5
-0 3/5 / +4 = -3/20
-0 3/5 / +5 = -3/25
-0 3/5 / +6 = -1/10
-0 3/5 / +7 = -3/35
-0 3/5 / +8 = -3/40
-0 3/5 / +9 = -1/15
-0 3/5 / -1 = +3/5
-0 3/5 / -2 = +3/10
-0 3/5 / -3 = +1/5
-0 3/5 / -4 = +3/20
-0 3/5 / -5 = +3/25
-0 3/5 / -6 = +1/10
-0 3/5 / -7 = +3/35
-0 3/5 / -8 = +3/40
-0 3/5 / -9 = +1/15
-0 3/6 / +1 = -1/2
-0 3/6 / +2 = -1/4
-0 3/6 / +3 = -1/6
-0 3/6 / +4 = -1/8
-0 3/6 / +5 = -1/10
-0 3/6 / +6 = -1/12
-0 3/6 / +7 = -1/14
-0 3/6 / +8 = -1/16
-0 3/6 / +9 = -1/18
-0 3/6 / -1 = +1/2
-0 3/6 / -2 = +1/4
-0 3/6 / -3 = +1/6
-0 3/6 / -4 = +1/8
-0 3/6 / -5 = +1/10
-0 3/6 / -6 = +1/12
-0 3/6 / -7 = +1/14
-0 3/6 / -8 = +1/16
-0 3/6 / -9 = +1/18
-0 3/7 / +1 = -3/7
-0 3/7 / +2 = -3/14
-0 3/7 / +3 = -1/7
-0 3/7 / +4 = -3/28
-0 3/7 / +5 = -3/35
-0 3/7 / +6 = -1/14
-0 3/7 / +7 = -3/49
-0 3/7 / +8 = -3/56
-0 3/7 / +9 = -1/21
-0 3/7 / -1 = +3/7
-0 3/7 / -2 = +3/14
-0 3/7 / -3 = +1/7
-0 3/7 / -4 = +3/28
-0 3/7 / -5 = +3/35
-0 3/7 / -6 = +1/14
-0 3/7 / -7 = +3/49
-0 3/7 / -8 = +3/56
-0 3/7 / -9 = +1/21
-0 3/8 / +1 = -3/8
-0 3/8 / +2 = -3/16
-0 3/8 / +3 = -1/8
-0 3/8 / +4 = -3/32
-0 3/8 / +5 = -3/40
-0 3/8 / +6 = -1/16
-0 3/8 / +7 = -3/56
-0 3/8 / +8 = -3/64
-0 3/8 / +9 = -1/24
-0 3/8 / -1 = +3/8
-0 3/8 / -2 = +3/16
-0 3/8 / -3 = +1/8
-0 3/8 / -4 = +3/32
-0 3/8 / -5 = +3/40
-0 3/8 / -6 = +1/16
-0 3/8 / -7 = +3/56
-0 3/8 / -8 = +3/64
-0 3/8 / -9 = +1/24
-0 3/9 / +1 = -1/3
-0 3/9 / +2 = -1/6
-0 3/9 / +3 = -1/9
-0 3/9 / +4 = -1/12
-0 3/9 / +5 = -1/15
-0 3/9 / +6 = -1/18
-0 3/9 / +7 = -1/21
